"logLi","aic","bic","time","volume","no.param"
14.5158604560261,-19.0317209120522,-10.1107727424608,163.360899925232,5,1
16.7889404820951,-23.5778809641901,-14.6569327945988,164.499015808105,10,1
1.85241653727119,6.29516692545761,15.2161150950489,160.281456947327,15,1
21.9915151671742,-33.9830303343485,-25.0620821647572,159.343397855759,20,1
-3.38937173166937,16.7787434633387,25.6996916329301,159.453108072281,25,1
-25.1210958838681,60.2421917677362,69.1631399373275,163.063462972641,35,1
-43.4934817537834,96.9869635075669,105.907911677158,161.512014865875,1000,1
15.4589963853861,-10.9179927707722,6.9239035684104,162.422397851944,5,2
20.2994523515481,-20.5989047030961,-2.75700836391352,161.729897022247,10,2
5.8963809736441,8.2072380527118,26.0491343918944,161.882057189941,15,2
23.0915236853083,-26.1830473706166,-8.34115103143404,162.765242099762,20,2
-2.59369557669073,25.1873911533815,43.0292874925641,164.558960914612,25,2
-22.5492628409694,65.0985256819387,82.9404220211213,163.840618133545,35,2
-35.6170302104249,91.2340604208499,109.075956760032,162.864775180817,1000,2
16.0744224470401,-2.14884489408022,24.6139996146937,164.666145086288,5,3
20.6316903580586,-11.2633807161173,15.4994637926566,163.577274084091,10,3
6.45556234946815,17.0888753010637,43.8517198098376,163.623072862625,15,3
24.5897675574819,-19.1795351149638,7.58330939381014,163.908301830292,20,3
-3.06881894956381,36.1376378991276,62.9004824079015,162.664113998413,25,3
-24.1176412784265,78.2352825568529,104.998127065627,164.381359100342,35,3
-33.5286807954682,97.0573615909363,123.82020609971,162.947251081467,1000,3
14.1445007617261,11.7109984765478,47.3947911549131,163.617161989212,5,4
21.9220481040754,-3.84409620815084,31.8396964702144,163.965884923935,10,4
6.68222985988569,26.6355402802286,62.3193329585938,161.580924034119,15,4
24.2164998172214,-8.43299963444284,27.2507930439224,153.179114103317,20,4
-1.52914597290413,43.0582919458083,78.7420846241735,161.918513059616,25,4
-22.5228674909669,85.0457349819338,120.729527660299,164.042870998383,35,4
-32.4410848523526,104.882169704705,140.56596238307,160.929102897644,1000,4
15.5916973699261,18.8166052601477,63.4213461081042,151.66031908989,5,5
21.0811305216171,7.83773895676573,52.4424798047222,151.823770046234,10,5
6.97070395928141,36.0585920814372,80.6633329293937,157.028488874435,15,5
25.3991691035325,-0.798338207064965,43.8064026408916,164.805555105209,20,5
-4.19010104696476,58.3802020939295,102.984942941886,163.717064857483,25,5
-23.9263754806461,97.8527509612923,142.457491809249,157.697856903076,35,5
-32.3426496777984,114.685299355597,159.290040203553,151.423368930817,1000,5
15.5339668640218,28.9320662719564,82.4577552895042,152.424952030182,5,6
22.0863358935483,15.8273282129033,69.3530172304512,152.47803902626,10,6
4.92760177536761,50.1447964492648,103.670485466813,152.887286901474,15,6
24.5339291092342,10.9321417815316,64.4578307990794,162.509926080704,20,6
-2.23340163074672,64.4668032614934,117.992492279041,163.078768968582,25,6
-23.4646732554973,106.929346510995,160.455035528542,161.536032915115,35,6
-31.8111688581487,123.622337716297,177.148026733845,163.94916009903,1000,6
13.9156408062029,62.1687183875941,142.457251913916,160.601790904999,5,9
19.8862425951785,50.227514809643,130.516048335965,163.290506124496,10,9
4.22710485696696,81.5457902860661,161.834323812388,161.026962041855,15,9
24.8033402657618,40.3933194684764,120.681852994798,163.697613954544,20,9
-2.06096971668672,94.1219394333734,174.410472959695,163.875232934952,25,9
-23.6282703635998,137.2565407272,217.545074253521,161.432454824448,35,9
-31.4667835417416,152.933567083483,233.222100609805,157.168635129929,1000,9
