"logLi","aic","bic","time","volume","no.param"
14.71001353954,-19.42002707908,-10.4990789094887,142.136744976044,5,1
1.93567907084016,6.12864185831967,15.049590027911,142.022583961487,15,1
-3.48776189922407,16.9755237984481,25.8964719680394,141.989816188812,25,1
-25.2456020148602,60.4912040297205,69.4121521993118,142.105789899826,35,1
-43.4054575374426,96.8109150748851,105.731863244476,142.789001941681,1000,1
14.696239121739,-9.39247824347799,8.44941809570462,141.935869932175,5,2
6.44870088829238,7.10259822341524,24.9444945625979,141.89484500885,15,2
-3.28127955826321,26.5625591165264,44.404455455709,143.294255971909,25,2
-23.2420724620949,66.4841449241897,84.3260412633724,142.56229186058,35,2
-35.5557943621786,91.1115887243572,108.95348506354,142.173440933228,1000,2
15.5411162397749,-1.08223247954979,25.6806120292241,142.791887998581,5,3
6.52961986507697,16.9407602698461,43.70360477862,144.032368898392,15,3
-2.71948883753115,35.4389776750623,62.2018221838362,142.375845193863,25,3
-23.3702780466394,76.7405560932788,103.503400602053,142.828495979309,35,3
-33.4185390262903,96.8370780525807,123.599922561355,142.077793121338,1000,3
14.8938444161925,10.212311167615,45.8961038459802,143.332434892654,5,4
6.24048522186429,27.5190295562714,63.2028222346366,142.136784791946,15,4
-1.93561242839351,43.871224856787,79.5550175351522,143.193197965622,25,4
-22.7039404046473,85.4078808092946,121.09167348766,142.296243906021,35,4
-32.6107447858787,105.221489571757,140.905282250123,142.636074066162,1000,4
14.0629828521847,61.8740342956306,142.162567821952,143.44594502449,5,9
4.98381154960479,80.0323769007904,160.320910427112,142.368813037872,15,9
-2.39549537432201,94.790990748644,175.079524274966,143.591965913773,25,9
-24.2806175441339,138.561235088268,218.84976861459,144.602342128754,35,9
-32.6060739760096,155.212147952019,235.500681478341,143.220746994019,1000,9
