"Date","volume","stemmass","stemmass_SD"
2013-01-21,5,1.15945541576598,0.0922634445424101
2013-01-29,5,1.59149561186412,0.151672256335803
2013-02-03,5,1.94442686191011,0.2232569658856
2013-02-11,5,2.34013430699311,0.275806391157665
2013-02-18,5,2.5924540137264,0.354584345993794
2013-02-25,5,3.62010810320384,0.453748207984421
2013-03-04,5,4.00831775742422,0.517156929511538
2013-03-11,5,4.57372637180471,0.709211483878233
2013-03-18,5,5.05204019972608,0.732031117460457
2013-03-25,5,5.43650081217323,0.805633794375617
2013-04-02,5,5.43097974245658,0.762454232992422
2013-04-08,5,5.68021974213105,0.772030708006385
2013-04-15,5,6.0405047263414,0.819206728818062
2013-04-22,5,6.20388850214052,0.785293409864477
2013-04-29,5,6.2139966865027,0.847946740225135
2013-05-06,5,6.29968613368904,0.837662433431771
2013-05-13,5,6.33205604430522,0.839987223167357
2013-05-21,5,6.44860025110685,0.89330702046282
2013-01-21,10,1.50544332352315,0.1166163140053
2013-01-29,10,1.88417093705598,0.169100777737431
2013-02-03,10,2.25566370621982,0.178708694977169
2013-02-11,10,2.84101843151932,0.293693707244038
2013-02-18,10,3.27954448851215,0.278644198148911
2013-02-25,10,4.07227477760061,0.367184203554889
2013-03-04,10,5.03844542733371,0.435598830308353
2013-03-11,10,5.51448171417921,0.739938600435245
2013-03-18,10,6.33337810339941,0.693794305875069
2013-03-25,10,6.44408994852964,0.720322240150453
2013-04-02,10,6.80824624970596,0.606777456131511
2013-04-08,10,7.27668602019889,0.896680270876791
2013-04-15,10,7.38843794373325,0.949575298831479
2013-04-22,10,7.59380906391284,0.946003477662274
2013-04-29,10,7.67700803967315,0.98939699647996
2013-05-06,10,7.70724711517825,1.0006321518432
2013-05-13,10,7.77562571450888,0.989509446491376
2013-05-21,10,7.70036956800106,1.04558360890469
2013-01-21,15,1.51369402017144,0.238859219435563
2013-01-29,15,1.89497658919295,0.296130947921282
2013-02-03,15,2.01895719174461,0.297468589427762
2013-02-11,15,2.61298999784997,0.438638321642224
2013-02-18,15,2.86116762865576,0.464496262534372
2013-02-25,15,3.60083558631256,0.522914860677696
2013-03-04,15,4.53119305059982,0.749570998624859
2013-03-11,15,5.15892040968184,0.893679056348854
2013-03-18,15,5.89268996811037,0.849483535272673
2013-03-25,15,6.27669634312867,0.993674705842521
2013-04-02,15,6.88818824265563,0.991890986061656
2013-04-08,15,7.33774195525073,0.967297768931561
2013-04-15,15,7.72564595238419,0.924307241816766
2013-04-22,15,8.02523683513464,0.848144159536147
2013-04-29,15,8.43852945090539,0.890397041032085
2013-05-06,15,8.66576374171387,0.825430077694191
2013-05-13,15,8.81556465915222,0.822885937075134
2013-05-21,15,8.99584239591876,0.817298347874284
2013-01-21,20,1.17193677839477,0.0649938576823849
2013-01-29,20,1.53118693394783,0.0812161196410354
2013-02-03,20,1.80204717886408,0.120767772270961
2013-02-11,20,2.26944314157339,0.107857836406323
2013-02-18,20,2.79200174430102,0.161454668436601
2013-02-25,20,3.26948957010935,0.231135681807526
2013-03-04,20,4.05144013613099,0.411575313975026
2013-03-11,20,4.52144311791329,0.537161377446513
2013-03-18,20,4.90525475924985,0.511231775502611
2013-03-25,20,5.26685030572839,0.647276667219243
2013-04-02,20,5.94780280585567,0.672316344457205
2013-04-08,20,6.13282905451825,0.731730148478785
2013-04-15,20,6.44265107895453,0.789790308522818
2013-04-22,20,6.71641709880934,0.745125244370835
2013-04-29,20,7.15835696901971,0.734736505477076
2013-05-06,20,7.33707375733571,0.774305611532489
2013-05-13,20,7.58181553746836,0.792551474499557
2013-05-21,20,7.73834847568456,0.776289753020275
2013-01-21,25,1.53610646231464,0.175421178455346
2013-01-29,25,1.69708501371818,0.23239419854646
2013-02-03,25,1.92846439297573,0.197324603142284
2013-02-11,25,2.52657354883792,NA
2013-02-18,25,2.68788622966212,0.306793939737443
2013-02-25,25,3.50424864131098,0.358210321740866
2013-03-04,25,4.37833031976085,0.561842491606258
2013-03-11,25,5.16796856734685,0.756290832535649
2013-03-18,25,6.12442022720101,0.989412110056835
2013-03-25,25,6.79860346072871,1.23407648807116
2013-04-02,25,7.23808847035075,1.23099095668312
2013-04-08,25,7.76857414281255,1.31281351414992
2013-04-15,25,8.38043125148057,1.43933133884436
2013-04-22,25,8.87917131222132,1.47124029333388
2013-04-29,25,8.97091807352528,1.43792046651633
2013-05-06,25,9.48171976889757,1.53540136297852
2013-05-13,25,9.80446923161014,1.64965976448655
2013-05-21,25,9.96434073831389,1.56984132522761
2013-01-21,35,1.1446490862508,0.105621585871821
2013-01-29,35,1.63330403951723,0.242105996954531
2013-02-03,35,1.97798002588051,0.229645744997963
2013-02-11,35,2.61194739985685,0.31205987071498
2013-02-18,35,2.93270865956615,0.334027610756468
2013-02-25,35,3.92391087063581,0.57162724963988
2013-03-04,35,5.43426347855665,0.880496894440999
2013-03-11,35,7.21042045201767,1.14202711925067
2013-03-18,35,8.58975788932923,1.42139899139432
2013-03-25,35,10.3622406138334,1.73416749228456
2013-04-02,35,11.855123834304,2.05376376026349
2013-04-08,35,12.8820078866126,2.29372337954854
2013-04-15,35,14.1324263181436,2.57448830985199
2013-04-22,35,14.5075775456411,2.6385600424722
2013-04-29,35,15.2057414202136,2.7027491656258
2013-05-06,35,16.1598569497557,2.96035388237529
2013-05-13,35,16.5934442964579,3.05279503779993
2013-05-21,35,16.916435290987,3.18648533722339
2013-01-21,1000,1.03365962138166,0.0967043515932634
2013-01-29,1000,1.44033246643241,0.0933946633576419
2013-02-03,1000,1.47405398369156,0.109471623764132
