"Date","volume","tdc_gross"
2013-01-21,"10",0.0378175641499918
2013-01-21,"1000",0.101903940697783
2013-01-21,"15",0.0615059514339172
2013-01-21,"20",0.0344231298727239
2013-01-21,"25",0.0430550420246603
2013-01-21,"35",0.0575346768626688
2013-01-21,"5",0.0344646322307507
2013-01-22,"10",0.0270730050134894
2013-01-22,"1000",0.08264986793445
2013-01-22,"15",0.0440848558837175
2013-01-22,"20",0.0241097662132642
2013-01-22,"25",0.0284605635959192
2013-01-22,"35",0.0423268676519978
2013-01-22,"5",0.022328833860669
2013-01-23,"10",0.01955810700814
2013-01-23,"1000",0.0635029558394504
2013-01-23,"15",0.0313891216557891
2013-01-23,"20",0.0167207816424334
2013-01-23,"25",0.0197475605281299
2013-01-23,"35",0.0319044972366678
2013-01-23,"5",0.0152663582643286
2013-01-24,"10",0.0257679579017676
2013-01-24,"1000",0.0965987537060585
2013-01-24,"15",0.0420104764202153
2013-01-24,"20",0.0222106433014069
2013-01-24,"25",0.0261994816158056
2013-01-24,"35",0.0419768936216587
2013-01-24,"5",0.0195815698407157
2013-01-25,"10",0.0279427245781106
2013-01-25,"1000",0.106063540780621
2013-01-25,"15",0.045748897517729
2013-01-25,"20",0.0241733258620762
2013-01-25,"25",0.0259047907423166
2013-01-25,"35",0.0454973979975061
2013-01-25,"5",0.0193294735238441
2013-01-26,"10",0.0283529311006843
2013-01-26,"1000",0.106495055397148
2013-01-26,"15",0.0463216251438552
2013-01-26,"20",0.0266874323859306
2013-01-26,"25",0.0288456842041546
2013-01-26,"35",0.0461138441580683
2013-01-26,"5",0.0196636042000753
2013-01-27,"10",0.0181792603179219
2013-01-27,"1000",0.0563203274833473
2013-01-27,"15",0.0288576489597079
2013-01-27,"20",0.0166158143763555
2013-01-27,"25",0.0181430122483754
2013-01-27,"35",0.0294944508048925
2013-01-27,"5",0.0143838223833332
2013-01-28,"10",0.0123483156487017
2013-01-28,"1000",0.0331661699224612
2013-01-28,"15",0.0192740969450592
2013-01-28,"20",0.0118272555147228
2013-01-28,"25",0.0130329223805075
2013-01-28,"35",0.0198563802619787
2013-01-28,"5",0.0108056382010624
2013-01-29,"10",0.0360025139708529
2013-01-29,"1000",0.106887086719008
